Timestamp,Dask APIs,Interactive or Batch?,Local machine or Cluster?,How often do you use Dask?,What Dask resources have you used for support in the last six months?,Which would help you most right now?,Is Dask stable enough for you?,What common feature requests do you care about most?  [Better Numpy/Pandas support],What common feature requests do you care about most?  [Better Scikit-Learn/ML support],What common feature requests do you care about most?  [Integrate with Deep Learning Frameworks],What common feature requests do you care about most?  [Support for new libraries in my field],What common feature requests do you care about most?  [Improve Scaling ],What common feature requests do you care about most?  [Dashboard / Diagnostics],What common feature requests do you care about most?  [Ease of deployment],What common feature requests do you care about most?  [Cloud integration],What common feature requests do you care about most?  [Managing many users],What common feature requests do you care about most?  [GPUs],Python 2 or 3?,"If you use a cluster, how do you launch Dask? ",Preferred Cloud?,What are some other libraries that you often use with Dask?,How easy is it for you to upgrade to newer versions of Python libraries,Do you use Dask as part of a larger group?
2019-06-25 06:59:49,Array;DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 100+ machines,Occasionally,Documentation;Tutorial;Examples at examples.dask.org,Performance improvements,Yes,Somewhat useful,Somewhat useful,Critical to me,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS);Google Cloud Platform (GCP),,4.0,My team or research group also use Dask
2019-06-25 07:01:12,DataFrame;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag,More examples in my field,Yes,Critical to me,Critical to me,Not relevant for me,Not relevant for me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,,Google Cloud Platform (GCP),,3.0,I use Dask mostly on my own
2019-06-25 07:02:25,DataFrame;Futures;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag,Bug fixes,No,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,3.0,"I don't know, someone else does this for me",Amazon Web Services (AWS),Datashader,3.0,My team or research group also use Dask
2019-06-25 07:07:08,Bag;DataFrame;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines,"I use Dask all the time, even when I sleep",Documentation;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),Performance improvements,Yes,Critical to me,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,3.0,SSH,Amazon Web Services (AWS);Microsoft Azure,,4.0,My team or research group also use Dask
2019-06-25 07:11:32,Array;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Just looking for now,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Somewhat useful,,,Somewhat useful,,,Somewhat useful,,,,3.0,,Microsoft Azure,OpenCV,4.0,I use Dask mostly on my own
2019-06-25 07:11:40,Array;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),New features,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,SSH,Amazon Web Services (AWS),"xarray, self-written",2.0,My team or research group also use Dask
2019-06-25 07:12:04,Array;DataFrame,Batch: I submit scripts that run in the future,Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial,More documentation,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Not relevant for me,Critical to me,3.0,SSH,Amazon Web Services (AWS),"Numpy, netcdf4, pygrib, eccodes, scipy",4.0,I use Dask mostly on my own
2019-06-25 07:12:14,Array;DataFrame;Delayed;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Occasionally,Documentation;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar)",,"numpy, pandas, scikit-learn, xarray",4.0,I use Dask mostly on my own
2019-06-25 07:14:36,Array;Bag;DataFrame;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines,Just looking for now,Documentation;Examples at examples.dask.org,More examples in my field,Yes,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,3.0,Kubernetes,,,3.0,I use Dask mostly on my own
2019-06-25 07:16:09,Array;DataFrame;Delayed;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop,Just looking for now,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org,Bug fixes,No,Critical to me,Critical to me,Not relevant for me,Not relevant for me,Somewhat useful,Not relevant for me,Critical to me,Not relevant for me,Not relevant for me,Not relevant for me,3.0,,Amazon Web Services (AWS),"pandas, sklearn",3.0,My team or research group also use Dask
